district,date,temperature,humidity,rainfall,wind_speed,sunlight
Pune,20190101,19.42,26.85,0.0,1.86,18.28
Pune,20190102,20.31,29.01,0.0,1.13,18.06
Pune,20190103,20.83,31.66,0.0,1.22,18.36
Pune,20190104,20.67,30.66,0.0,1.44,18.31
Pune,20190105,20.4,38.25,0.0,1.66,17.92
Pune,20190106,19.43,38.53,0.0,1.48,17.92
Pune,20190107,18.93,33.15,0.0,2.7,18.12
Pune,20190108,18.97,28.1,0.0,2.14,18.38
Pune,20190109,19.56,30.5,0.0,1.32,18.65
Pune,20190110,19.69,29.95,0.0,1.84,18.06
Pune,20190111,19.82,36.49,0.0,1.64,17.64
Pune,20190112,20.33,36.78,0.0,1.57,17.74
Pune,20190113,19.48,40.7,0.0,1.45,17.91
Pune,20190114,20.07,41.09,0.0,2.37,17.18
Pune,20190115,20.91,38.8,0.0,2.49,17.39
Pune,20190116,21.69,43.06,0.0,1.73,17.03
Pune,20190117,21.65,36.0,0.0,1.56,17.37
Pune,20190118,21.6,32.27,0.0,1.48,18.04
Pune,20190119,21.74,31.33,0.0,2.03,17.83
Pune,20190120,22.44,32.48,0.0,1.69,17.98
Pune,20190121,20.6,45.73,0.0,2.23,18.87
Pune,20190122,18.81,69.84,0.0,1.74,18.88
Pune,20190123,18.73,68.19,0.0,1.7,19.06
Pune,20190124,18.33,47.82,0.0,1.94,20.37
Pune,20190125,17.29,38.74,0.0,1.88,20.45
Pune,20190126,18.06,41.05,0.0,1.98,18.2
Pune,20190127,19.6,58.5,0.0,3.2,17.13
Pune,20190128,18.49,38.34,0.0,3.36,18.42
Pune,20190129,18.09,25.56,0.0,3.19,18.54
Pune,20190130,19.11,25.3,0.0,1.86,20.25
Pune,20190131,20.58,32.72,0.0,1.29,19.73
Pune,20190201,21.1,42.88,0.0,1.7,19.22
Pune,20190202,21.51,43.26,0.0,1.78,18.14
Pune,20190203,22.89,43.35,0.0,1.84,16.94
Pune,20190204,23.38,40.92,0.0,2.78,18.7
Pune,20190205,23.26,44.95,0.0,1.41,19.1
Pune,20190206,22.26,48.4,0.0,2.23,19.64
Pune,20190207,18.46,62.65,0.0,2.68,21.32
Pune,20190208,16.73,55.37,0.0,2.46,22.96
Pune,20190209,17.26,30.71,0.0,2.23,23.29
Pune,20190210,20.07,22.67,0.0,2.89,22.37
Pune,20190211,22.37,28.83,0.0,1.4,21.19
Pune,20190212,25.23,39.24,0.0,1.55,17.34
Pune,20190213,26.05,40.27,0.0,1.36,18.82
Pune,20190214,24.9,39.92,0.0,2.11,19.93
Pune,20190215,22.79,44.66,0.0,2.34,22.13
Pune,20190216,21.47,38.73,0.0,1.65,23.41
Pune,20190217,21.65,29.74,0.0,1.68,22.61
Pune,20190218,23.18,27.99,0.0,1.6,21.51
Pune,20190219,24.99,28.22,0.0,1.58,22.17
Pune,20190220,25.2,34.08,0.0,2.5,21.55
Pune,20190221,25.94,50.63,0.0,2.01,20.61
